game_name	relise_year	func_name
Peaceful Days	2020	_RPGMaker
A Sceptic's Guide to Magic	2019	_RPGMaker
Star Shift Origins	2021	_RPGMaker
RPG Fighter League	2019	_RPGMaker
Путешествие паладина	2021	_RPGMaker
KOEWOTAYORINI / 声之寄托	2018	_RPGMaker
Jesus Christ RPG Trilogy	2016	_RPGMaker
The Oni Sellsword	2018	_RPGMaker
风中之烛	2020	_RPGMaker
Art of Deception	2020	_RPGMaker
Silver Creek Falls - Chapter 1	2015	_RPGMaker
In The Ember 余烬之中	2019	_RPGMaker
Later On	2018	_RPGMaker
The Dragons' Twilight	2017	_RPGMaker
Black Moon 黑月	2018	_RPGMaker
Demonpact: Clarice	2021	_RPGMaker
The Sunny Day 晴天	2018	_RPGMaker
反现实症候群γ - Counterrealstic Syndrome γ	2019	_RPGMaker
Island Saga	2020	_RPGMaker
De Fobos y Deimos	2018	_RPGMaker
I L L U S I O N	2018	_RPGMaker
谁说奶妈不能拯救世界！	2020	_RPGMaker
Mrs. Santa's Gift Hunt	2020	_RPGMaker
Prey with Gun	2017	_RPGMaker
Flandre's dream. - 36000 ft deep -	2019	_RPGMaker
Reformers	2017	_RPGMaker
KiKiMiMi2 / 听能力搜查官2	2019	_RPGMaker
Horns of Fear	2018	_RPGMaker
TinkerQuarry	2019	_RPGMaker
Pegasus-5: Gone Astray	2018	_RPGMaker
Apostle	2019	_RPGMaker
Insurgence - Chains of Renegade	2018	_RPGMaker
R.I.C.A	2019	_RPGMaker
Friday 星期五部门	2019	_RPGMaker
Flowering Across 樱下花期	2021	_RPGMaker
A Long Road Home	2017	_RPGMaker
Space Pilgrim Episode II: Epsilon Indi	2016	_RPGMaker
HEARTBEAT	2018	_RPGMaker
White Dove 白雀	2019	_RPGMaker
Echoes of Aetheria	2016	_RPGMaker
Quiver Dick's Terrible Tale For Terrible Parents To Read To Their Equally Terrible Children	2018	_RPGMaker
Mars Underground	2019	_RPGMaker
Purgo box	2021	_RPGMaker
Lost Remnant: The End Tides	2020	_RPGMaker
Dream Rose	2019	_RPGMaker
Nursery Slime	2021	_RPGMaker
Les Quatre Alices	2017	_RPGMaker
Radiant Arc	2019	_RPGMaker
Captive	2018	_RPGMaker
Ceress and Orea	2018	_RPGMaker
绿洲计划	2020	_RPGMaker
Cherry Tree High Comedy Club	2012	_RPGMaker
HYBRIS - Pulse of Ruin	2018	_RPGMaker
My Light In The Dark	2019	_RPGMaker
Learn Japanese To Survive! Kanji Combat	2018	_RPGMaker
Tropicalia	2020	_RPGMaker
The Inquisitor	2018	_RPGMaker
Insurgence - Second Assault	2020	_RPGMaker
Twilight Memoria	2021	_RPGMaker
Miss Cat	2019	_RPGMaker
Eternal Dreamers	2021	_RPGMaker
Lawless Lands	2020	_RPGMaker
Space Pilgrim Academy: Year 2	2018	_RPGMaker
Sins Of The Demon RPG	2016	_RPGMaker
Our Hero! First	2020	_RPGMaker
Memoirs of a Battle Brothel	2021	_RPGMaker
Sir Stretchalot	2021	_RPGMaker
Dark Lord: Peacemaker	2021	_RPGMaker
HEBEREKE!: March! Red Army Girls' Brigade	2016	_RPGMaker
Osteoblasts	2021	_RPGMaker
After I met that catgirl, my questlist got too long!	2021	_RPGMaker
Erinye Demo	2018	_RPGMaker
Gaia's Melody: Echoed Melodies	2017	_RPGMaker
Feast Your Eyes: Little Marshmallow	2020	_RPGMaker
Knight Bewitched 2	2020	_RPGMaker
You're Not Special	2019	_RPGMaker
Familia	2019	_RPGMaker
The Devil's Womb	2019	_RPGMaker
Succumate	2020	_RPGMaker
Fox Girls Never Play Dirty	2021	_RPGMaker
Corpo Tale	2016	_RPGMaker
COPPER ODYSSEY	2021	_RPGMaker
宵闇ノ影	2020	_RPGMaker
非常魔王(Beelzebub)	2020	_RPGMaker
Brave Hero Yuusha EX	2019	_RPGMaker
画师	2020	_RPGMaker
LUNA	2020	_RPGMaker
7 Days in Dream 光尘	2018	_RPGMaker
Love in Belarus	2021	_RPGMaker
Tina: Swordswoman of the Scarlet Prison	2019	_RPGMaker
Space Pilgrim Episode III: Delta Pavonis	2016	_RPGMaker
Disc Creatures	2019	_RPGMaker
Nick Beard: The Fedora of Destiny	2018	_RPGMaker
Meritocracy of the Oni & Blade	2018	_RPGMaker
Covid Tale: Ignorance	2020	_RPGMaker
Princesses Never Lose!	2020	_RPGMaker
Public Defense Corp	2020	_RPGMaker
