game_name	release_year	func_name
Fantasy Mosaics 14: Fourth Color	2016	_Gamemaker
MANIC	2019	_Gamemaker
Blink the Bulb	2017	_Gamemaker
Colors!	2021	_Gamemaker
Magical Waifus Academy	2021	_Gamemaker
Pixel Puzzles 2: Christmas	2018	_Gamemaker
ROGO	2018	_Gamemaker
Way of the Red	2016	_Gamemaker
Heads Run	2018	_Gamemaker
Warlock Bentspine	2020	_Gamemaker
Nadia Was Here	2017	_Gamemaker
Oliver's Adventures in the Fairyland	2019	_Gamemaker
Sudoku RPG	2021	_Gamemaker
Lucid Dream	2018	_Gamemaker
Shrouded in Sanity: Freebirth	2018	_Gamemaker
Good Night, Knight	2021	_Gamemaker
Super Intergalactic Gang	2016	_Gamemaker
BANANO BROS.	2017	_Gamemaker
Hepta Beats	2021	_Gamemaker
Hyperspace Invaders II: DX	2015	_Gamemaker
The Slormancer	2021	_Gamemaker
Comrades and Barons: Solitaire of Bloody 1919	2018	_Gamemaker
Peachleaf Pirates	2021	_Gamemaker
Middle Age Conquest	2021	_Gamemaker
Retrace	2020	_Gamemaker
Platform Builder	2018	_Gamemaker
Flatland Vol.2	2020	_Gamemaker
Disparity	2017	_Gamemaker
Driven Out	2019	_Gamemaker
Mustache in Hell	2016	_Gamemaker
Cryogear	2020	_Gamemaker
Space Waver	2017	_Gamemaker
Ufflegrim	2020	_Gamemaker
Blindia	2018	_Gamemaker
Living the Nightmare	2020	_Gamemaker
Nyanroo The Supercat	2021	_Gamemaker
Underwater Rescue	2021	_Gamemaker
Abha	2018	_Gamemaker
Heartseeker	2021	_Gamemaker
Hellcraze	2021	_Gamemaker
Sokpop S02: Hoco Poco	2020	_Gamemaker
Fusion SHIFT	2020	_Gamemaker
Hell's Pharma	2020	_Gamemaker
JMPR	2020	_Gamemaker
Rage Among The Stars	2020	_Gamemaker
Ambidangerous	2019	_Gamemaker
10mg: Stroke	2020	_Gamemaker
Jujubos Puzzle	2021	_Gamemaker
Speed Sweeper	2020	_Gamemaker
GravKitten	2021	_Gamemaker
